Day fraction since midnight on,photometer (mg/L),(volts)
0.6303425011,5.824400902,1.472978234
0.6303540802,5.789555073,1.483543992
0.6303656357,5.779528141,1.486591697
0.630377212,5.76112175,1.492195129
0.6303887703,5.740795136,1.498396039
0.6304003578,5.736179352,1.499806166
0.6304119234,5.734176636,1.500418186
0.6304235011,5.752821446,1.494725585
0.6304350695,5.722473621,1.503997207
0.6304466431,5.717835903,1.505416632
0.6304582211,5.71323061,1.506827116
0.630469784,5.703486443,1.509813428
0.63048138,5.700648308,1.510683894
0.6304929493,5.746533871,1.49664402
0.6305045093,5.738476276,1.499104381
0.6305161031,5.743256569,1.497644424
0.6305276702,5.658771992,1.523558497
0.6305392515,5.748076439,1.496173263
0.6305508135,5.762211323,1.491863132
0.6305623887,5.755915642,1.493782044
0.6305739724,5.761276245,1.492148042
0.6305855439,5.751338482,1.495177984
0.6305971171,5.733189106,1.500719905
0.6306086939,5.698223114,1.511427879
0.6306202616,5.70737648,1.508620858
0.6306318313,5.71266079,1.507001638
0.6306433999,5.703881741,1.509692311
0.6306549697,5.683326244,1.516002297
0.6306665406,5.699853897,1.510927677
0.6306781291,5.70541811,1.509221196
0.6306897089,5.674978256,1.518568993
0.6307012876,5.680600166,1.51684022
0.6307128519,5.675177574,1.518507719
0.6307244279,5.669561863,1.520235539
0.6307359997,5.624189854,1.534234762
0.6307475679,5.605198383,1.54011488
0.6307591404,5.604838371,1.540226579
0.6307707092,5.610399246,1.538503408
0.6307822952,5.563720703,1.552999735
0.6307938564,5.667448044,1.520886183
0.6308054514,5.681283951,1.516630054
0.6308170121,5.671578884,1.519614816
0.6308285806,5.67242527,1.519354463
0.6308401525,5.68947506,1.514113307
0.630851731,5.684828281,1.515540719
0.6308633426,5.692583561,1.513158798
0.6308748808,5.684039116,1.515783191
0.6308864659,5.661696434,1.522657394
0.6308980293,5.61376667,1.537460446
0.630909612,5.582037926,1.547302365
0.6309212129,5.609942436,1.53864491
0.6309327754,5.612533093,1.537842512
0.6309443197,5.662653923,1.522362471
0.6309558914,5.672990799,1.519180417
0.6309674842,5.671443939,1.519656301
0.6309790433,5.652710915,1.525426745
0.6309906291,5.666413784,1.521204591
0.6310022058,5.623939991,1.53431201
0.6310137844,5.610408306,1.538500547
0.6310253401,5.58496809,1.546392083
0.6310369167,5.624046803,1.534278989
0.6310485018,5.576970577,1.548877358
0.6310600646,5.572054386,1.550406218
0.6310716442,5.585704804,1.546163321
0.6310832212,5.554380894,1.555909157
0.6310947925,5.546420097,1.558391213
0.6311063715,5.549224377,1.557516694
0.6311179246,5.511005878,1.569459438
0.6311295159,5.526786804,1.564522028
0.6311410735,5.482319832,1.578456044
0.6311526531,5.495617867,1.57428205
0.6311642408,5.489637852,1.576158285
0.6311758125,5.486349106,1.577190757
0.6311873705,5.489275932,1.576271892
0.6311989619,5.466815949,1.583330154
0.6312105229,5.456734181,1.586504102
0.6312221032,5.446220875,1.589817524
0.6312336834,5.434529781,1.593506813
0.631245246,5.427000046,1.595885277
0.6312568305,5.422646046,1.597261429
0.6312683871,5.398827076,1.604801893
0.6312799666,5.409842968,1.601312161
0.6312915545,5.409602165,1.601388335
0.6313031232,5.36441946,1.615728855
0.6313146939,5.385097504,1.609157205
0.6313262713,5.350331307,1.62021482
0.6313378444,5.393253803,1.606569052
0.6313494215,5.367897034,1.614622593
0.6313609787,5.33517313,1.625048995
0.6313725796,5.340248108,1.623429656
0.6313841406,5.302199841,1.635592461
0.631395715,5.321381092,1.629454494
0.6314072805,5.278304577,1.643256903
0.6314188516,5.27451086,1.64447546
0.6314304267,5.246639729,1.653444052
0.6314419952,5.24666214,1.65343678
0.6314535695,5.24698782,1.653331876
0.6314651431,5.259949207,1.649157882
0.6314767367,5.225183964,1.660366774
0.6314882907,5.223165035,1.661018968
0.6314998844,5.190703869,1.671525598
0.6315114383,5.18979311,1.671820998
0.6315230242,5.183123112,1.673984647
0.6315346001,5.176754952,1.676051855
0.6315461804,5.191650391,1.671218753
0.6315577411,5.157044888,1.682459235
0.6315693222,5.163675308,1.680302382
0.6315808861,5.171580315,1.677732706
0.6315924692,5.140296459,1.687914729
0.6316040472,5.155880451,1.682838321
0.6316156453,5.107515335,1.698621273
0.631627184,5.09032011,1.704252601
