Day fraction since midnight on 	photometer (mg/L)	 (volts)
0.6934909679	22.0656547546	-0.8334523439
0.6935025392	21.9425773621	-0.8270460367
0.6935141362	21.9122505188	-0.8254543543
0.6935256990	21.7240180969	-0.8154562712
0.6935372702	21.5951251984	-0.8084910512
0.6935488418	21.5330753326	-0.8051028848
0.6935604444	21.4720745087	-0.8017497063
0.6935720163	21.4296588898	-0.7994049788
0.6935835754	21.3490276337	-0.7949178219
0.6935951390	21.3876304626	-0.7970710397
0.6936067225	21.2969036102	-0.7919960022
0.6936182840	21.1162338257	-0.7817394137
0.6936298459	20.8169078827	-0.7642967701
0.6936414390	20.5321350098	-0.7471665740
0.6936530033	20.3305206299	-0.7347136140
0.6936646020	20.1473426819	-0.7231602073
0.6936761542	20.0696487427	-0.7181899548
0.6936877387	20.0046234131	-0.7139976025
0.6936993060	19.9364795685	-0.7095723748
0.6937108715	19.8565521240	-0.7043399811
0.6937224480	19.6761169434	-0.6923590302
0.6937340394	19.4327774048	-0.6758242249
0.6937455933	19.2431030273	-0.6626289487
0.6937571905	19.1463985443	-0.6557958722
0.6937687339	19.2173900604	-0.6608191133
0.6937803118	19.1942977905	-0.6591894031
0.6937919057	19.1094017029	-0.6531626582
0.6938034691	19.1266918182	-0.6543945670
0.6938150469	19.1139698029	-0.6534883976
0.6938266387	18.9915409088	-0.6447029114
0.6938382199	18.7483215332	-0.6268984675
0.6938497715	18.5666198730	-0.6132864952
0.6938613490	18.4642715454	-0.6054999232
0.6938729267	18.3206005096	-0.5944221616
0.6938845048	18.2288551331	-0.5872569084
0.6938960660	18.0031871796	-0.5693252683
0.6939076358	17.8778572083	-0.5591748357
0.6939192232	17.6541080475	-0.5407053828
0.6939307809	17.6655158997	-0.5416581035
0.6939423871	17.5834999084	-0.5347832441
0.6939539292	17.4093265533	-0.5199783444
0.6939654995	17.2283802032	-0.5042977929
0.6939770880	17.0988693237	-0.4928834438
0.6939886610	16.8349494934	-0.4691192210
0.6940002312	16.6514148712	-0.4521863461
0.6940118053	16.7242660522	-0.4589480162
0.6940233687	16.6083660126	-0.4481654465
0.6940349566	16.5154495239	-0.4394222796
0.6940465428	16.5280551910	-0.4406137168
0.6940580997	16.6378364563	-0.4509200752
0.6940696802	16.6055622101	-0.4479029775
0.6940812545	16.5465145111	-0.4423552454
0.6940928082	16.2680568695	-0.4157078862
0.6941043851	16.1316852570	-0.4023602307
0.6941159827	16.0783481598	-0.3970857263
0.6941275420	16.0318489075	-0.3924621344
0.6941391194	16.0058441162	-0.3898662925
0.6941506856	15.8659114838	-0.3757709861
0.6941622749	15.6629915237	-0.3549459875
0.6941738473	15.5090036392	-0.3388330340
0.6941854176	15.3623037338	-0.3232294619
0.6941969720	15.1866750717	-0.3042184711
0.6942085638	14.9536590576	-0.2784283161
0.6942201315	14.8600139618	-0.2678779960
0.6942317310	14.7878026962	-0.2596688867
0.6942432898	14.7336368561	-0.2534686327
0.6942548560	14.7179260254	-0.2516635060
0.6942664454	14.7695560455	-0.2575843334
0.6942779990	14.6607713699	-0.2450701296
0.6942895731	14.5024890900	-0.2265953869
0.6943011728	14.4540634155	-0.2208792865
0.6943127174	14.4192419052	-0.2167502791
0.6943243067	14.2334976196	-0.1944595128
0.6943358970	13.9813461304	-0.1634695083
0.6943474353	13.8593397141	-0.1481665820
0.6943590234	13.8583412170	-0.1480405629
0.6943705851	13.7484674454	-0.1340829134
0.6943821755	13.7042522430	-0.1284189820
0.6943937644	13.6760520935	-0.1247922257
0.6944053153	13.5532779694	-0.1088722348
0.6944168868	13.4798631668	-0.0992505625
0.6944284678	13.3129930496	-0.0770927519
0.6944400498	13.1890830994	-0.0603771694
0.6944516333	13.2070817947	-0.0628192350
0.6944631994	13.2970180511	-0.0749503151
0.6944747657	13.1955842972	-0.0612597987
0.6944863436	13.0370740891	-0.0395607874
0.6944979224	12.8993539810	-0.0204016492
0.6945095038	12.7503843307	0.0006484086
0.6945210637	12.6361064911	0.0170290451
0.6945326329	12.5878572464	0.0240065511
0.6945442008	12.4562406540	0.0432273895
0.6945557822	12.2643489838	0.0717484206
0.6945673864	12.1235837936	0.0930523500
0.6945789421	12.1325445175	0.0916863680
0.6945905100	12.1044092178	0.0959795788
0.6946020754	11.9709596634	0.1165226102
0.6946136787	11.7363586426	0.1533678323
0.6946252282	11.6853008270	0.1615120769
0.6946368178	11.6085510254	0.1738398820
0.6946483866	11.5584459305	0.1819436252
0.6946599426	11.4324216843	0.2025226206
0.6946715242	11.3465814590	0.2167021781
0.6946831008	11.2266740799	0.2367321998
0.6946946697	11.0669317245	0.2638255656
0.6947062475	10.8949079514	0.2935334742
0.6947178138	10.7884235382	0.3122034669
0.6947293800	10.7881898880	0.3122448027
0.6947409728	10.7275705338	0.3229703903
0.6947525463	10.6974306107	0.3283296525
0.6947641157	10.7611999512	0.3170115352
0.6947756871	10.7283020020	0.3228405714
0.6947872485	10.5903949738	0.3475044668
0.6947988312	10.4071540833	0.3808538616
0.6948104088	10.3211688995	0.3967336416
0.6948219764	10.3551406860	0.3904420435
0.6948335651	10.3752212524	0.3867339194
0.6948451336	10.3240175247	0.3962052464
0.6948567360	10.1564188004	0.4275778532
0.6948682957	10.0100488663	0.4554487467
0.6948798586	9.9822244644	0.4607971907
0.6948914326	10.0129251480	0.4548966885
0.6949029894	9.9976272583	0.4578343928
0.6949145612	10.0273618698	0.4521289170
0.6949261505	9.9179716110	0.4732102454
0.6949377214	9.7879762650	0.4985910654
0.6949492890	9.8035917282	0.4955231249
0.6949608798	9.8429479599	0.4878142774
0.6949724461	9.7756891251	0.5010085106
0.6949840133	9.6977977753	0.5164098740
0.6949955843	9.5611677170	0.5437426567
0.6950071723	9.5045928955	0.5551797748
0.6950187346	9.4161119461	0.5732090473
0.6950303021	9.4245033264	0.5714916587
0.6950418914	9.4616117477	0.5639161468
0.6950534520	9.4073724747	0.5749992132
0.6950650528	9.3361549377	0.5896513462
0.6950766138	9.2734127045	0.6026540995
0.6950881981	9.2102108002	0.6158420444
0.6950997722	9.1009979248	0.6388458610
0.6951113402	9.0711164474	0.6451876760
0.6951229040	8.9826593399	0.6640824080
0.6951344901	8.8202037811	0.6992607117
0.6951460544	8.7193059921	0.7214242220
0.6951576153	8.5954017639	0.7489764690
0.6951692467	8.6747493744	0.7312893271
0.6951807861	8.6049852371	0.7468320727
0.6951923477	8.6310529709	0.7410107255
0.6952039240	8.5027732849	0.7698178887
0.6952155168	8.4184169769	0.7889816761
0.6952270907	8.4237365723	0.7877680659
0.6952386345	8.3053359985	0.8149487376
0.6952502238	8.2643356323	0.8244428039
0.6952618135	8.3180732727	0.8120077848
0.6952733572	8.3067455292	0.8146230578
0.6952849481	8.1979131699	0.8399138451
0.6952965153	8.1549358368	0.8499838710
0.6953080813	8.1571054459	0.8494745493
0.6953196711	8.0032844543	0.8858960271
0.6953312243	7.9534521103	0.8978266120
0.6953428212	7.9024491310	0.9101045728
0.6953543741	7.8793735504	0.9156819582
0.6953659576	7.8834204674	0.9147028327
0.6953775426	7.8750009537	0.9167404175
0.6953891045	7.8321399689	0.9271422625
0.6954006727	7.8139271736	0.9315769672
0.6954122464	7.7907285690	0.9372384548
0.6954238285	7.7697353363	0.9423740506
0.6954354048	7.6912508011	0.9616780281
0.6954469783	7.6905193329	0.9618586302
0.6954585411	7.6304020882	0.9767581224
0.6954701329	7.6535172462	0.9710177779
0.6954817026	7.5582647324	0.9947656989
0.6954932767	7.4554805756	1.0206691027
0.6955048538	7.3837075233	1.0389297009
0.6955164174	7.3774981499	1.0405161381
0.6955280004	7.4114608765	1.0318516493
0.6955395605	7.3650546074	1.0436987877
0.6955511528	7.3477010727	1.0481443405
0.6955627103	7.3083777428	1.0582491159
0.6955742844	7.2606925964	1.0705608130
0.6955858726	7.2034029961	1.0854368210
0.6955974361	7.1642665863	1.0956526995
0.6956090220	7.0820107460	1.1172662973
0.6956205779	7.0372929573	1.1290978193
0.6956321663	7.0395407677	1.1285016537
0.6956437460	6.9691734314	1.1472319365
0.6956553154	6.8584122658	1.1770062447
0.6956668881	6.8071775436	1.1909006834
0.6956784555	6.7762904167	1.1993145943
0.6956900398	6.7817997932	1.1978117228
0.6957016053	6.7240295410	1.2136154175
0.6957131748	6.7058539391	1.2186080217
0.6957247744	6.6866445541	1.2238954306
0.6957363326	6.6696424484	1.2285845280
0.6957478906	6.6406326294	1.2366054058
0.6957594771	6.6032476425	1.2469791174
0.6957710575	6.5687789917	1.2565811872
0.6957826192	6.5792679787	1.2536554337
0.6957941918	6.5259094238	1.2685738802
0.6958057621	6.5086035728	1.2734310627
0.6958173405	6.4919347763	1.2781180143
0.6958289096	6.4467430115	1.2908680439
0.6958404960	6.4544067383	1.2887014151
0.6958520683	6.4102501869	1.3012096882
0.6958636321	6.3711347580	1.3123401403
0.6958752161	6.3136973381	1.3287705183
0.6958867994	6.3155279160	1.3282452822
0.6958983712	6.2819724083	1.3378896713
0.6959099638	6.2724719048	1.3406265974
0.6959215000	6.3615121841	1.3150856495
0.6959330943	6.2412433624	1.3496432304
0.6959446519	6.1838650703	1.3662900925
0.6959562317	6.1763334274	1.3684829473
0.6959677989	6.0827269554	1.3958871365
0.6959793848	6.0449686050	1.4070204496
0.6959909501	6.0811939240	1.3963382244
0.6960025351	6.0468006134	1.4064791203
0.6960140925	6.0398602486	1.4085301161
0.6960256706	5.9313650131	1.4407943487
0.6960372494	5.8775677681	1.4569343328
0.6960488347	5.9151873589	1.4456379414
0.6960603892	5.8324327469	1.4705486298
0.6960719831	5.7669219971	1.4904282093
0.6960835401	5.8147540092	1.4758993387
0.6960951261	5.7788844109	1.4867875576
0.6961066994	5.7432818413	1.4976367950
0.6961182749	5.6978096962	1.5115547180
0.6961298423	5.7215790749	1.5042709112
0.6961414208	5.7549281120	1.4940830469
0.6961529831	5.6517796516	1.5257139206
0.6961645711	5.5843615532	1.5465804338
0.6961761455	5.5623683929	1.5534207821
0.6961877090	5.5147066116	1.5683008432
0.6961993179	5.4925308228	1.5752503872
0.6962108565	5.5162134171	1.5678291321
0.6962224461	5.4620456696	1.5848314762
0.6962340148	5.4626235962	1.5846495628
0.6962455809	5.5194501877	1.5668164492
0.6962571494	5.4324445724	1.5941652060
0.6962687233	5.3699417114	1.6139724255
0.6962803005	5.3575534821	1.6179143190
0.6962918702	5.2940397263	1.6382075548
0.6963034549	5.2526979446	1.6514922380
0.6963150248	5.2753400803	1.6442091465
0.6963265902	5.1838397980	1.6737520695
0.6963381675	5.1779465675	1.6756649017
0.6963497498	5.1629533768	1.6805371046
0.6963613310	5.1294984818	1.6914371252
0.6963729057	5.1641945839	1.6801334620
0.6963844613	5.2075357437	1.6660730839
0.6963960355	5.1305608749	1.6910903454
0.6964076160	5.1058592796	1.6991630793
0.6964191984	5.1109848022	1.6974862814
0.6964307680	5.0651006699	1.7125309706
0.6964423313	5.0270118713	1.7250766754
0.6964539132	5.0750555992	1.7092604637
0.6964654826	4.9981346130	1.7346231937
0.6964770612	4.9361815453	1.7552055120
0.6964886433	4.8964419365	1.7684811354
0.6965002114	4.8968434334	1.7683466673
0.6965117964	4.8624634743	1.7798779011
0.6965233645	4.8879699707	1.7713187933
0.6965349346	4.8409233093	1.7871245146
0.6965464986	4.8553562164	1.7822669744
0.6965580754	4.8414053917	1.7869620323
0.6965696605	4.7474741936	1.8187603951
0.6965812211	4.7436990738	1.8200451136
0.6965928054	4.7565073967	1.8156882524
0.6966043876	4.7901182175	1.8042839766
0.6966159451	4.7430081367	1.8202803135
0.6966275269	4.6701440811	1.8451837301
0.6966390995	4.7289171219	1.8250808716
0.6966506637	4.6388635635	1.8559354544
0.6966622561	4.6525459290	1.8512279987
0.6966738306	4.6448822021	1.8538638353
0.6966854140	4.6014137268	1.8688558340
0.6966969748	4.6381692886	1.8561744690
0.6967085334	4.6415233612	1.8550198078
0.6967201172	4.5129189491	1.8995970488
0.6967317015	4.4979629517	1.9048218727
